date,mean_value,n_cells,file,var,site,site_lat,site_lon,type
2025-01-01,3.551354555348259,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-01,3.8021513526119404,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-02,1.2806912702114428,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-02,-2.7775915345149254,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-03,2.6571828358208953,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-03,-2.678740088619403,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-04,2.609943446828358,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-04,-3.261641013681592,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-05,1.84462939210199,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-05,-2.320672030472637,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-06,3.255966262437811,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-06,-0.4460461365049751,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-07,1.920538907027363,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-07,-0.6166336287313433,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-08,1.4217195273631842,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-08,-1.7578173585199004,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-09,1.9845061800373134,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-09,-5.934720926616915,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-10,1.4899380052860696,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-10,-6.400580107276119,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-11,0.7378488417288557,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-11,-6.2714309312810945,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-12,9.43544970460199,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-12,-3.345557369402985,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-13,11.475532493781095,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-13,0.6178336831467661,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-14,10.99442241915423,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-14,8.923857276119403,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-15,11.914237406716419,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-15,5.498284942475125,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-16,10.31601270988806,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-16,4.34218069807214,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-17,9.858058341106965,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-17,5.554668065920398,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-18,6.674488883706467,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-18,5.062072450248756,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-19,5.333464513370647,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-19,-0.9944564287935324,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-20,7.698081856343284,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-20,1.4805804959577114,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-21,7.5618635338930345,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-21,2.061319379664179,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-22,2.9600143812189055,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-22,-3.18212647699005,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-23,9.078814909825871,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-23,-0.7847287002487562,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-24,5.954752604166667,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-24,2.366298390858209,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-25,3.9109530472636815,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-25,0.8558282804726368,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-26,4.371895405783582,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-26,0.703241604477612,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-27,6.989806825248756,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-27,1.2629528140547264,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-28,6.404442630597015,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-28,1.682636621579602,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-29,7.329339629975125,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-29,2.6080923507462686,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-30,5.694088152985074,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-30,0.7165782416044776,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-01-31,6.322620296952737,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-01-31,1.116317824937811,201,tasmin_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-01,16.76727689676617,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-01,12.230731110074627,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-02,20.55399273165423,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-02,9.210801461442786,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-03,21.69929162779851,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-03,14.361196944962687,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-04,19.17880810789801,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-04,11.412347442475124,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-05,18.241084615982587,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-05,10.659257423818408,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-06,19.521445506840795,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-06,12.227874300373134,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-07,19.809137904228855,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-07,13.40255266635572,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-08,18.4316211909204,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-08,10.922088774875622,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-09,18.251156327736318,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-09,12.21689404539801,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-10,20.832944651741293,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-10,9.716811450559701,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-11,21.722408465485074,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-11,14.68467234141791,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-12,26.82998581312189,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-12,14.30067922108209,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-13,28.307383978544777,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-13,12.542366293532337,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-14,25.351703397077113,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
2025-08-14,15.0703125,201,tasmin_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmin,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmin
2025-08-15,22.61756160603234,201,tasmax_hadukgrid_uk_1km_day_20250801-20250831.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771,tasmax
